ITEMID,JUDUL,PENULIS,KURIKULUM,TAHUNTERBIT,JENJANG,PARETO, HARGA 
0055100350,"MATEMATIKA SMK/MAK KEL.TEK,KESEHATAN,PERTANIAN KLS.X/KTSP",EKA ZULIANA-SARLI BAMORIS-DIYARKO,KTSP,2016,SMK,0," 55,000 "
0055100360,"MATEMATIKA SMK/MAK KEL.TEK,KESEHATAN,PERTANIAN KLS.XI/KTSP",EKA ZULIANA-SARLI BAMORIS-DIYARKO,KTSP,2016,SMK,0," 62,000 "
0055100370,"MATEMATIKA SMK/MAK KEL.TEK,KESEHATAN,PERTANIAN KLS.XII/KTSP",EKA ZULIANA-SARLI BAMORIS-DIYARKO,KTSP,2017,SMK,0," 60,000 "
0055100410,"ERLANGGA X-PRESS UN SMK/MAK 2018 MTK TEK.,KESEHATAN,PERTANIA",KASMINA,IRISAN,2018,SMK,0," 50,999 "
0055100420,"ERLANGGA X-PRESS UN SMK/MAK 2018 MTK AKUNTANSI,PEMASARAN",KASMINA,IRISAN,2018,SMK,0," 50,999 "
0055100430,"ERLANGGA X-PRESS UN SMK/MAK 2018 MTK PARIWISATA,SENI,ADM,DLL",KASMINA,IRISAN,2018,SMK,0," 50,999 "
0055300010,FISIKA BID. KEAHLIAN KESEHATAN SMK/MAK KLS.X/K2013,PRISTIADI UTOMO,KTSP,2014,SMK,0," 75,000 "
0055300020,FISIKA BID. KEAHLIAN KESEHATAN SMK/MAK KLS.XI/K2013,PRISTIADI UTOMO,KTSP,2015,SMK,0," 70,000 "
0055300040,MANDIRI FISIKA SMK BID KEAHLIAN TEK & REKAYASA KLS.X/K2013,DIA VALENTINA,K2013,2014,SMK,0," 55,000 "
0055300050,MANDIRI FISIKA SMK BID KEAHLIAN TEK & REKAYASA KLS.X/K13N,PRISTIADI UTOMO-SUGIYANTO,K13N,2018,SMK,0," 55,999 "
0055300070,FISIKA BID. KEAHLIAN TEKNOLOGI & REKAYASA SMK KLS.X/K2013,SUDIRMAN,K2013,2013,SMK,0," 82,000 "
0055300080,FISIKA BID. KEAHLIAN TEKNOLOGI & REKAYASA SMK KLS.XI/K2013,SUDIRMAN,K2013,2014,SMK,0," 75,000 "
0055400010,MANDIRI KIMIA SMK KEL. TEKN. KESEHATAN JL.1 KLS.X/KTSP,SITI NAQIYAH - SUSWANTO DJONI,KTSP,2015,SMK,0," 50,000 "
0055400020,MANDIRI KIMIA SMK KEL. TEKN. KESEHATAN JL.2 KLS.XI/KTSP,SITI NAQIYAH - SUSWANTO DJONI,KTSP,2013,SMK,0," 46,000 "
0055400030,MANDIRI KIMIA SMK KEL. TEKN. KESEHATAN JL.3 KLS.XII/KTSP,SITI NAQIYAH - SUSWANTO DJONI,KTSP,2013,SMK,0," 40,000 "
0055400040,KIMIA SMK KEL. TEKNOLOGI & REKAYASA KLS.X/K2013,MICHAEL PURBA-AAS SAIDAH,K2013,2014,SMK,0," 75,000 "
0055400050,KIMIA SMK KEL. TEKNOLOGI & KESEHATAN KLS.XI/K2013,MICHAEL PURBA-AAS SAIDAH,K2013,2014,SMK,0," 88,000 "
0055400060,MANDIRI KIMIA SMK/MAK TEKN. & REKAYASA KLS.X/K2013,SITI NAQIYAH - SUSWANTO,K2013,2014,SMK,0," 56,000 "
0055400070,MANDIRI KIMIA SMK/MAK TEKN. & REKAYASA KLS.XI/K2013,SITI NAQIYAH - SUSWANTO,K2013,2014,SMK,0," 66,000 "
0055400130,MANDIRI KIMIA SMK/MAK BID. KEAHLIAN KESEHATAN KLS.X/K13N,SITI NAQIYAH - SUSWANTO DJONI,K13N,2018,SMK,0," 60,000 "
0055400140,MANDIRI KIMIA SMK/MAK BID. KEAHLIAN KESEHATAN KLS.XI/K13N,SITI NAQIYAH - SUSWANTO DJONI,K13N,2018,SMK,0," 60,999 "
0055700010,BIOLOGI SMK BID. KESEHATAN JL.1/K2013,ERNAWATI,K2013,2014,SMK,0," 56,000 "
0055700020,BIOLOGI SMK BID. KESEHATAN JL.2/K2013,ERNAWATI,K2013,2015,SMK,0," 70,000 "
0056000060,"TEROPONG UN 2018 SMK TEKNOLOGI,KESEHATAN,PERTANIAN",RUSTAMAJI-HUSIN-SHYLA K.-KASMINA,IRISAN,2018,SMK,0," 65,999 "
0056040010,GAMBAR TEKNIK SMK BID. TEKNOLOGI & REKAYASA JL.1/K2013,WAHYU T.,K2013,2018,SMK,0," 50,000 "
0056040020,GAMBAR TEKNIK SMK BID. TEKNOLOGI & REKAYASA JL.2/K2013,WAHYU T.,IRISAN,2018,SMK,0," 50,999 "
0056150010,MENERAPKAN PEMBUATAN SEDIAAN OBAT SESUAI RESEP DOKTER,"MARYANI, S.FARM",KTSP,2013,SMK,0," 35,000 "
0056150020,MODUL MENERAPKAN DASAR2 KERJA LAB RESEP & KIMIA,"MARYANI, S.FARM",KTSP,2013,SMK,0," 37,000 "
0056150030,MEMAHAMI TEK PEMBUATAN SEDIAAN OBAT SKALA KECIL&INDUSTRI JL1,"MARYANI, S.FARM",KTSP,2015,SMK,0," 40,000 "
0056150040,MEMAHAMI TEK PEMBUATAN SEDIAAN OBAT SKALA KECIL&INDUSTRI JL2,"MARYANI, S.FARM",KTSP,2016,SMK,0," 45,000 "
0056150060,"MEMAHAMI CPOB, CPKB,&CPOTB SMK",SRI MUHARNI BUDININGSIH-DKK,KTSP,2016,SMK,0," 35,000 "
0056150080,MENDESKRIPSIKAN PENGGOLONGAN OBAT U/ SMK,DRA. SRI MUHARNI BUDININGSIH,KTSP,2016,SMK,0," 35,000 "
0056150100,MELAKSANAKAN KERJASAMA DG KOLEGA & PELANGGAN U/SMK,DRA. SRI MUHARNI BUDININGSIH,KTSP,2016,SMK,0," 32,000 "
0056150120,MENERAPKAN SWAMEDIKASI SMK KOMPETENSI KEAHLIAN FARMASI INDUS,SRI MUHARNI-LAKSMI M.,KTSP,2016,SMK,0," 37,000 "
0056200040,MODUL MEMELIHARA/SERVIS ENGINE & KOMPONEN-2NYA,SUPRIYADI,KTSP,2011,SMK,0," 52,000 "
0056200100,MODUL MEMELIHARA UNIT FINAL DRIVE/GARDAN,SUPRIYADI,KTSP,2012,SMK,0," 43,000 "
0056500020,MELAKSANAKAN KONFIRMASI KEPUTUSAN PELANGGAN SMK/MAK,WIDANINGSIH-SAMSUL RIZAL,KTSP,2016,SMK,0," 35,000 "
0056500030,MLKSNKN NEGOSIASI SMK/MAK,WIDANINGSIH-SAMSUL RIZAL,KTSP,2016,SMK,0," 37,000 "
0056510010,PENGANTAR ADM.PERKANTORAN JL.1/K2013 (BISNIS&MANAJEMEN),SRI ENDANG,K2013,2014,SMK,0," 52,000 "
0056510020,PENGANTAR ADM.PERKANTORAN JL.2/K2013 (BISNIS & MANAJEMEN),SRI ENDANG,K2013,2015,SMK,0," 50,000 "
0056510090,MENGOP. APL. KOMP. AKUNTANSI PERUSH. MANUFAKTUR DG ACCURATE,BIMO SUCIONO,K2013,2016,SMK,0," 70,000 "
0056510110,MENGOP. APL. KOMP. AKUNTANSI PD PER. JASA DG ACCURATE/KTSP,BIMO SUCIONO,K2013,2016,SMK,0," 70,000 "
0056510120,MODUL MENERAPKAN PRINSIP2 KERJASAMA DG KOLEGA & PELANGGAN,SRI ENDANG RAHAYU-SRI MULYANI,KTSP,2015,SMK,0," 60,000 "
0056570010,MODUL MENGOPERASIKAN APLIKASI KOMPUTER AKUNTANSI SMK,BIMO S & DEKY N,KTSP,2012,SMK,0," 53,000 "
0056570020,MODUL MENGOPERASIKAN PAKET PROGRAM PENGOLAH ANGKA,BIMO S & DEKY N,KTSP,2013,SMK,0," 52,000 "
0056570030,MODUL MENGOPERASIKAN APL.AKUNTANSI SOFTWARE ACCURATE SMK,BIMO S & DEKY N,KTSP,2014,SMK,0," 75,000 "
0056570040,PENGANTAR AKUNTANSI SMK/MAK KLS.X/K2013,DWI HARTI,K2013,2015,SMK,0," 67,000 "
0056570050,PENGANTAR AKUNTANSI SMK/MAK KLS.XI/K2013,DWI HARTI,K2013,2015,SMK,0," 68,000 "
0056570090,ADMINISTRASI PAJAK SMK/MAK KLS.XI/K2013,DWI HARTI,K2013,2015,SMK,0," 73,000 "
0056570100,ADMINISTRASI PAJAK SMK/MAK KLS.XII/K2013,DWI HARTI,K2013,2017,SMK,0," 90,000 "
0056570140,MEMPROSES DOKUMEN DANA KAS DI BANK U/ SMK/MAK,SLAMET RAHARJO,KTSP,2015,SMK,0," 35,000 "
0056570150,MENGELOLA KARTU UTANG SMK/MAK,SLAMET RAHARJO,KTSP,2015,SMK,0," 37,000 "
0056570160,MENGELOLA KARTU PIUTANG SMK/MAK,SLAMET RAHARJO,KTSP,2015,SMK,0," 43,000 "
0056570170,MEMPROSES DOKUMEN DANA KAS KECIL SMK/MAK,SLAMET RAHARJO,KTSP,2015,SMK,0," 40,000 "
0056570180,MENYIAPKAN SURAT PEMBERITAHUAN PAJAK SMK/MAK,DRA. DWI HARTI,KTSP,2015,SMK,0," 85,000 "
0056570200,MENYAJIKAN LAPORAN HARGA POKOK PRODUK,AHMAD MUDHOFAR-SUGIYANTO,KTSP,2016,SMK,0," 52,000 "
0056570210,MEMPROSES ENTRI JURNAL SMK/MAK,"SRI SUHARTATI, DKK",KTSP,2016,SMK,0," 43,000 "
0056570250,SIMULASI UN AKUNTANSI SMK/MAK 2017,TIM SIMULASI UN SMK,IRISAN,2017,SMK,0," 32,000 "
0056580010,MODUL MENANGANI KONFLIK KONSUMEN,BAGYONO,KTSP,2013,SMK,0," 37,000 "
0057000010,SENI BUDAYA SMK JL.1(KTSP),"SUGIYANTO, DKK",KTSP,2012,SMK,0," 52,000 "
0057000020,SENI BUDAYA SMK JL.2(KTSP),"SUGIYANTO, DKK",KTSP,2012,SMK,0," 52,000 "
0057000030,SENI BUDAYA SMK/MAK KLS.X/K2013,"SUGIYANTO,DKK",K2013,2014,SMK,0," 80,000 "
0057000031,SENI BUDAYA SMK/MAK KLS.X/K13N,"SUGIYANTO,DKK",K13N,2016,SMK,0," 80,000 "
0057000040,SENI BUDAYA SMK/MAK KLS.XI/K2013,"SUGIYANTO,DKK",K2013,2015,SMK,0," 77,000 "
0057000041,SENI BUDAYA SMK/MAK KLS.XI/K13N,"SUGIYANTO,DKK",K13N,2017,SMK,0," 80,000 "
0057000051,SENI BUDAYA SMK/MAK KLS.XII/K13N,"SUGIYANTO,DKK",K13N,2018,SMK,0," 80,999 "
0057000060,PRAKARYA & KEWIRAUSAHAAN SMK JL.1/K2013,"SUGIYANTO,DKK",K2013,2015,SMK,0," 65,000 "
0057960010,PENJAS ORKES SMK JL.1/KTSP,MUHAJIR,KTSP,2011,SMK,0," 77,000 "
0057960020,PENJAS ORKES SMK JL.2/KTSP,MUHAJIR,KTSP,2011,SMK,0," 68,000 "
0057960030,PENJAS ORKES SMK JL.3/KTSP,MUHAJIR,KTSP,2011,SMK,0," 75,000 "
0057960040,"PEND. JASMANI, OLAHRAGA & KESEHATAN SMK KLS.X/K13N",INDRIATI AGUNG R.-M. AZHAR M.,K13N,2017,SMK,0," 75,000 "
0057960050,"PEND. JASMANI, OLAHRAGA & KESEHATAN SMK KLS.XI/K13N",INDRIATI AGUNG R.-M. AZHAR M.,K13N,2018,SMK,0," 75,999 "
0059070011,SEJARAH INDONESIA SMK JL.1/K2013/REVISI,RATNA HAPSARI - M. ADIL,K2013,2014,SMK,0," 58,000 "
0059070012,SEJARAH INDONESIA SMK JL.1/K13N,RATNA HAPSARI - M. ADIL,K13N,2016,SMK,0," 68,000 "
0059070013,SEJARAH INDONESIA SMK JL.1/KIKD17,RATNA HAPSARI - M. ADIL,K13N,2018,SMK,0," 68,999 "
0059070020,SEJARAH INDONESIA SMK JL.2/K2013,RATNA HAPSARI - M. ADIL,K2013,2014,SMK,0," 75,000 "
0059070021,SEJARAH INDONESIA SMK JL.2/K13N,RATNA HAPSARI - M. ADIL,K13N,2017,SMK,0," 70,000 "
0059070030,SEJARAH INDONESIA SMK JL.3/K2013,RATNA HAPSARI - M. ADIL,K2013,2015,SMK,0," 65,000 "
0059070031,SEJARAH INDONESIA SMK JL.3/K13N,RATNA HAPSARI - M. ADIL,K13N,2018,SMK,0," 65,999 "
0059100050,MEMPRESENTASIKAN KOMENTAR PEMANDUAN WISATA SMK,MANGATAS SIRINGORINGO,KTSP,2015,SMK,0," 45,000 "
0070000010,PENGOLAHAN CITRA & VIDEO DIGITAL,PROF. DR. SARIFUDDIN MADENDA,PERTI,2016,PERTI,0," 175,000 "
0070700030,JURNALISTIK TELEVISI,HASAN ASY'ARI ORAMAHI,PERTI,2015,PERTI,0," 58,000 "
0071500020,TES PSIKOLOGI JL.1#,ROBERT J. GREGORY,PERTI,2013,PERTI,0," 278,000 "
0071500030,TES PSIKOLOGI JL.2#,GREGORY,PERTI,2014,PERTI,0," 197,000 "
0071500040,LIFE SPAN DEVELOPMENT JL. 1 ED.13#,JOHN W. SANTROCK,PERTI,2012,PERTI,0," 290,000 "
0071500050,LIFE SPAN DEVELOPMENT 13/2#,JOHN W. SANTROCK,PERTI,2013,PERTI,0," 238,000 "
0071500060,PSIKOLOGI KOGNITIF#,JONATHAN LING,PERTI,2013,PERTI,0," 175,000 "
0071500110,FISIOLOGI PERILAKU JL.1/ED.11,CARLSON,PERTI,2015,PERTI,0," 336,000 "
0071500120,FISIOLOGI PERILAKU JL.2/ED.11,CARLSON,PERTI,2015,PERTI,0," 267,000 "
0071500130,PSIKOLOGI PENDIDIKAN 1#,I NYOMAN SURNA,PERTI,2014,PERTI,0," 122,000 "
0071500160,PSIKOLOGI JL.1 ED.11,WADE-TAURIS-GARRY,PERTI,2016,PERTI,0," 220,000 "
0071500170,PSIKOLOGI JL.2 ED.11,WADE-TAURIS-GARRY,PERTI,2017,PERTI,0," 170,000 "
0071500210,"PSIKOLOGI SOSIAL: AKU, KAMI & KITA",KOMARUDIN HIDAYAT-KHOIRUDDIN BASHORI,PERTI,2017,PERTI,0," 90,000 "
0071580010,PSIKOLOGI KLINIS: PENGANTAR TERAPAN MIKRO&MAKRO#,J.E. PRAWITASARI,PERTI,2011,PERTI,0," 162,000 "
0071580040,PSIKOLOGI KEPEMIMPINAN & INOVASI#,PROF. DJAMALUDIN ANCOK,PERTI,2012,PERTI,0," 110,000 "
0073100010,STATISTIK ED.8/JL.1,J. SUPRANTO,PERTI,2016,PERTI,0," 190,000 "
0073100020,STATISTIK ED.8/JL.2,J. SUPRANTO,PERTI,2016,PERTI,0," 197,000 "
0073300060,DASAR-DASAR KEWIRAUSAHAAN#,HENDRO SANTONO,PERTI,2011,PERTI,0," 245,000 "
0073300150,"PENGANTAR MATEMATIKA EKONOMI U/ ANALISIS BISNIS, SOSIAL JL.2","ERNEST F. HAEUSSLER, DKK",PERTI,2014,PERTI,0," 278,000 "
0073300170,PEMBANGUNAN EKONOMI JL.2/11#,TODARO & SMITH,PERTI,2014,PERTI,0," 278,000 "
0073300230,MIKROEKONOMI ED.8#,PINDYCK & RUBINFGLD,PERTI,2014,PERTI,0," 487,000 "
0073300240,METODE RISET U/ BISNIS & EKONOMI ED.4,MUDRAJAD KUNCORO,PERTI,2014,PERTI,0," 220,000 "
0073300260,EKONOMI INTERNASIONAL,DR. MAHYUS EKANANDA,PERTI,2015,PERTI,0," 175,000 "
0073300270,OTONOMI DAERAH ED.3,MUDRAJAT KUNCORO,PERTI,2014,PERTI,0," 203,000 "
0073300280,SISTEM EKONOMI INDONESIA,"PROF. AHMAD ERANI YUSTIKA,DKK",PERTI,2015,PERTI,0," 105,000 "
0073300290,PEREKONOMIAN INDONESIA,AMIR MACHMUD,PERTI,2016,PERTI,0," 125,000 "
0073320010,AKUNTANSI KEUANGAN (IFRS) ED.8 JL.1#,HORNGREN & HARRISON,PERTI,2012,PERTI,0," 285,000 "
