ITEMID,JUDUL,PENULIS,KURIKULUM,TAHUNTERBIT,JENJANG,PARETO, HARGA 
0076580030,PENGANTAR MANAJEMEN#,SOLIHIN,PERTI,2011,PERTI,0," 122,000 "
0076580070,MANAJEMEN SUMBER DAYA MANUSIA#,PROF. DR. WILSON BANGUN,PERTI,2012,PERTI,0," 245,000 "
0076580100,KORESPONDENSI BISNIS PROFESIONAL#,DJOKO PURWANTO,PERTI,2014,PERTI,0," 145,000 "
0076580110,MANAJEMEN STRATEGIK KOMPREHENSIF#,A.B. SUSANTO,PERTI,2014,PERTI,0," 162,000 "
0076580120,PENGANTAR BISNIS,ISMAIL SOLIHIN,PERTI,2015,PERTI,0," 115,000 "
0076580130,PENGANTAR BISNIS,EBERT-GRIFFIN,PERTI,2015,PERTI,0," 377,000 "
0076580140,"MANAJEMEN KEUANGAN PERUSAHAAN, TEORI & PRAKTIK ED.2",I MADE SUDANA,PERTI,2015,PERTI,0," 175,000 "
0076580160,ENTERPRENEURSHIP: SEBUAH ILMU,DAVID S. KODRAT-YUSAK A.-WINA C.,PERTI,2015,PERTI,0," 122,000 "
0076580180,MANAJEMEN ED.13 JL.1,ROBBINS-COULTER,PERTI,2016,PERTI,0," 190,000 "
0076580190,MANAJEMEN ED.13 JL.2,ROBBINS-COULTER,PERTI,2017,PERTI,0," 140,000 "
0076590020,PRAKTIK PUBLIC RELATIONS ED.12,FRASER P. SEITEL,PERTI,2017,PERTI,0," 180,000 "
0076600010,PENGANTAR TEKNOLOGI BIOPROSES,MISRI GOZAN,PERTI,2015,PERTI,0," 105,000 "
0076610010,TEKNOLOGI BIOETANOL GENERASI KEDUA#,MISRI GROZAN,PERTI,2014,PERTI,0," 128,000 "
0077200070,KAMUS VISUAL ARSITEKTUR ED.2#,FRANCIS D.K. CHING,PERTI,2014,PERTI,0," 260,000 "
0077200080,SUSTAINABLE ARCHITECTURE (ARSITEKTUR BERKELANJUTAN),YANITA MILA ARDIANI,PERTI,2016,PERTI,0," 90,000 "
0077200090,"ARSITEKTUR TROPIS: BENTUK,TEKNOLOGI,KNYMN&PGUNAAN ENERGI",TRI HARSO KARYONO,PERTI,2016,PERTI,0," 95,000 "
0077200100,KOMPOSISI ARSITEKTUR: APRESIASI & ANALISIS KASUS DIINDONESIA,BAGOES WIRYOMARTONO,PERTI,2016,PERTI,0," 55,000 "
0077210010,KONSEP PERANCANGAN ARSITEKTUR/PERTI,"PROF.IR.EDY DARMAWAN, M.T&MARIA ROSITA M, S.T",PERTI,2016,PERTI,0," 70,000 "
0082040300,PANDUAN ZAKAT TERLENGKAP,TIM EMIR,UMUM,2016,UMUM,0," 70,000 "
0082070170,DAHSYATNYA SPIRITUAL HYPNOLEARNING,RUSTAN,UMUM,2016,UMUM,0," 82,000 "
0082070180,ENSIKLOPEDIA TOKOH ISLAM BERPENGARUH DIDUNIA JL.1,SAIFUL HADI EL SUTHA,UMUM,2017,UMUM,0," 185,000 "
0083200020,MENGAWAL PENEGAK DEMOKRASI DIBALIK TATA KELOLA BAWASLU & DKP,H. GUNAWAN SUSWANTORO,UMUM,2016,UMUM,0," 98,000 "
0083240040,PENGAWASAN PEMILU PARTISIPATIF: GERAKAN MASYARAKAT SIPIL U/,"H. GUNAWAN SUSWANTORO, M.SI",UMUM,2016,UMUM,0," 100,000 "
0084270040,SUCCEED IN TOEFL IBT,ANDREW BETSIS,UMUM,2016,UMUM,0," 125,000 "
0084270050,SUCCEED IN IELTS,ANDREW BETSIS,UMUM,2016,UMUM,0," 150,000 "
0084280020,OFFICIAL GUIDE TO THE TOEFL ITP TEST,ETS,UMUM,2016,UMUM,0," 90,000 "
0085760020,REFERENSI BIOLOGI LENGKAP: EVOLUSI,RUDOLF H. MARX-DKK,UMUM,2017,UMUM,0," 120,000 "
0085770010,REFERENSI BIOLOGI LENGKAP: EKOLOGI,RUDOLF H. MARX-DKK,UMUM,2017,UMUM,0," 110,000 "
0092970010,BELAJAR BACA TULIS ALQUR'AN JL.1,ABD. ROCHIM S.AG,KTSP,2013,MI,0," 40,000 "
0092970020,BELAJAR BACA TULIS ALQUR'AN JL.2,ABD. ROCHIM S.AG,KTSP,2013,MI,0," 37,000 "
0092970030,BELAJAR BACA TULIS ALQUR'AN JL.3,ABD. ROCHIM S.AG,KTSP,2013,MI,0," 37,000 "
0092970040,BELAJAR BACA TULIS ALQUR'AN JL.4,ABD. ROCHIM S.AG,KTSP,2013,MI,0," 32,000 "
0092970050,BELAJAR BACA TULIS ALQUR'AN JL.5,ABD. ROCHIM S.AG,KTSP,2013,MI,0," 37,000 "
0092970060,BELAJAR BACA TULIS ALQUR'AN JL.6,ABD. ROCHIM S.AG,KTSP,2014,MI,0," 37,000 "
0092970070,BINA BELAJAR AL-QURAN & HADIS MI KLS.I/K2013,TIM BINA KARYA GURU,K2013,2014,MI,0," 52,000 "
0092970080,BINA BELAJAR AL-QURAN & HADIS MI KLS.II/K2013,TIM BINA KARYA GURU,K2013,2016,MI,0," 62,000 "
0092970090,BINA BELAJAR AL-QURAN & HADIS MI KLS.III/K2013,TIM BINA KARYA GURU,K2013,2017,MI,0," 60,000 "
0092970100,BINA BELAJAR AL-QURAN & HADIS MI KLS.IV/K2013,TIM BINA KARYA GURU,K2013,2014,MI,0," 52,000 "
0092970110,BINA BELAJAR AL-QURAN & HADIS MI KLS.V/K2013,TIM BINA KARYA GURU,K2013,2016,MI,0," 43,000 "
0092970120,BINA BELAJAR AL-QURAN & HADIS MI KLS.VI/K2013,TIM BINA KARYA GURU,K2013,2017,MI,0," 35,000 "
0092970130,BINA SEJARAH KEB. ISLAM JL.1 KLS.III/K2013,TIM BINA KARYA GURU,K2013,2017,MI,0," 40,000 "
0092970140,BINA SEJARAH KEB. ISLAM JL.2 KLS.IV/K2013,TIM BINA KARYA GURU,K2013,2015,MI,0," 37,000 "
0092970150,BINA SEJARAH KEB. ISLAM JL.3 KLS V/K2013,TIM BINA KARYA GURU,K2013,2016,MI,0," 50,000 "
0092970160,BINA SEJARAH KEB. ISLAM JL.4 KLS.VI/K2013,TIM BINA KARYA GURU,K2013,2017,MI,0," 35,000 "
0093710080,SUKSES UAM (UJIAN AKHIR MADRASAH) MI 2018,ABD. ROKHIM S.AG,IRISAN,2018,MI,0," 87,999 "
0094920080,AYO BELAJAR BAHASA ARAB/MI/KLS.1/K2013,"FIRMAN HAMDANI, DKK",K2013,2015,MI,0," 56,000 "
0094920090,AYO BELAJAR BAHASA ARAB/MI/KLS.2/K2013,"FIRMAN HAMDANI, DKK",K2013,2016,MI,0," 62,000 "
0094920100,AYO BELAJAR BAHASA ARAB/MI/KLS.3/K2013,"FIRMAN HAMDANI, DKK",K2013,2017,MI,0," 70,000 "
0094920110,AYO BELAJAR BAHASA ARAB/MI/KLS.4/K2013,"FIRMAN HAMDANI, DKK",K2013,2016,MI,0," 32,000 "
0094920120,AYO BELAJAR BAHASA ARAB/MI/KLS.5/K2013,"FIRMAN HAMDANI, DKK",K2013,2016,MI,0," 35,000 "
0094920130,AYO BELAJAR BAHASA ARAB/MI/KLS.6/K2013,"FIRMAN HAMDANI, DKK",K2013,2017,MI,0," 31,000 "
01010530,CERDAS MORAL TK.A#,CONDRYWATI,TK,2006,TK,0," 45,000 "
01010540,CERDAS MORAL TK.B#,CONDRYWATI,TK,2006,TK,0," 45,000 "
01011010,AKU PANDAI MENULIS,HILDA KARLI M.PD,TK,2008,TK,0," 38,000 "
01011031,SERI 4SAHABAT CKB: B. INGGRIS/REVISI,CONDRYWATI,TK,2014,TK,0," 36,000 "
0102970100,AYO MEMAHAMI AL-QUR'AN HADIS/MTS/KLS.VII/K2013,NUR HADI M.PD&SUNARIYAH,K2013,2016,MTS,0," 43,000 "
0102970110,AYO MEMAHAMI AL-QURAN HADIS/MTS/KLS.VIII/K2013,NUR HADI M.PD&SUNARIYAH,K2013,2017,MTS,0," 40,000 "
0102970130,AYO MEMAHAMI FIKIH/MTS/KLS.VII/K2013,"JAMHARI, DKK",K2013,2016,MTS,0," 55,000 "
0102970140,AYO MEMAHAMI FIKIH/MTS/KLS.VIII/K2013,"JAMHARI, DKK",K2013,2017,MTS,0," 35,000 "
0102970160,AYO MEMAHAMI SEJARAH KEBUDAYAAN ISLAM/MTS/KLS.VII/K2013,MACHRUS AS'AD,K2013,2015,MTS,0," 30,000 "
0102970170,AYO MEMAHAMI SEJARAH KEBUDAYAAN ISLAM/MTS/KLS.VIII/K2013,MACHRUS AS'AD,K2013,2017,MTS,0," 30,000 "
0102970190,AYO MEMAHAMI AKIDAH AKHLAK/MTS/KLS.VII/K2013,MUTA'ALIMAH,K2013,2016,MTS,0," 47,000 "
0102970200,AYO MEMAHAMI AKIDAH AKHLAK/MTS/KLS.VIII/K2013,MUTA'ALIMAH,K2013,2017,MTS,0," 50,000 "
0104920010,AYO MEMAHAMI BAHASA ARAB/MTS/KLS.VII/K2013,HASAN SAIFULLAH,K2013,2016,MTS,0," 47,000 "
0104920020,AYO MEMAHAMI BAHASA ARAB/MTS/KLS.VIII/K2013,HASAN SAIFULLAH,K2013,2017,MTS,0," 55,000 "
01090111,BUKU AKTIVITAS TK.A SMT.1 USIA 4-5 TH REVISI,ANIES LISTYOWATI,TK,2012,TK,0," 37,000 "
01090121,BUKU AKTIVITAS TK.A SMT.2 USIA 4-5 TH  REVISI,ANIES LISTYOWATI,TK,2012,TK,0," 37,000 "
01090131,BUKU AKTIVITAS TK.B SMT.1 USIA 5-6 TH REVISI,ANIES LISTYOWATI,TK,2012,TK,0," 37,000 "
01090141,BUKU AKTIVITAS TK.B SMT.2 USIA 5-6 TH REVISI,ANIES LISTYOWATI,TK,2012,TK,0," 37,000 "
01090241,SERI 4SAHABAT CKB: SOBEK TEMPEL/REVISI,"CONDRTWATI, DKK",TK,2014,TK,0," 40,000 "
01090390,MEWARNAI U/ USIA 4-5TH TK A#,TIM ANAK BANGSA,KTSP,2010,TK,0," 17,000 "
01090411,ANAK SMART BUDI PEKERTI 4-5TH,TIM ANAK BANGSA,TK,2011,TK,0," 23,000 "
01090481,ANAK SMART B. INGGRIS 5-6TH SMT.1,TIM ANAK BANGSA,TK,2011,TK,0," 23,000 "
01090491,ANAK SMART B. INGGRIS 5-6TH SMT.2,TIM ANAK BANGSA,TK,2011,TK,0," 23,000 "
01090510,MEWARNAI U/ USIA 5-6TH TK B#,TIM ANAK BANGSA,KTSP,2010,TK,0," 17,000 "
01090531,ANAK SMART BUDI PEKERTI 5-6TH,TIM ANAK BANGSA,TK,2011,TK,0," 23,000 "
01120121,AKU INGIN MENJADI PENGACARA (NEW),LUSIANA RUMINTANG,UMUM,2017,ANAK,0," 35,000 "
01120151,AKU INGIN MENJADI APOTEKER (NEW),NIQUEN HANANTI,UMUM,2017,ANAK,0," 35,000 "
01120161,AKU INGIN MENJADI ARSITEK (NEW),DEWI,UMUM,2017,ANAK,0," 35,000 "
01120171,AKU INGIN MENJADI PRAMUGARI (NEW),RIZKI TRI,UMUM,2017,ANAK,0," 35,000 "
01120191,AKU INGIN MENJADI TNI AD (NEW),IREBELLA,UMUM,2017,ANAK,0," 40,000 "
01120201,AKU INGIN MENJADI MARINIR (NEW),LUSIANA RUMINTANG,UMUM,2017,ANAK,0," 40,000 "
01120251,AKU INGIN MENJADI TNI AU (NEW),IREBELLA,UMUM,2017,ANAK,0," 35,000 "
0112970010,AYO MENGKAJI FIKIH U/ MA JL.1,"MUSTOFA, S.PD",KTSP,2011,MA,0," 52,000 "
0112970020,AYO MENGKAJI FIKIH U/ MA JL.2,"MUSTOFA, S.PD",KTSP,2011,MA,0," 52,000 "
0112970030,AYO MENGKAJI FIKIH U/ MA JL.3,"MUSTOFA, S.PD",KTSP,2011,MA,0," 40,000 "
0112970040,AYO MENGKAJI SEJARAH KEBUDAYAAN ISLAM/MA/KLS.XII/K2013,NURHADI S.AG.M.PA,KTSP,2012,MA,0," 52,000 "
0112970050,AYO MENGKAJI AKIDAH AKHLAK/MA/JL.1/KLS.X/K2013,USMAN&IDA INAYAHWATI,K2013,2014,MA,0," 68,000 "
0112970060,AYO MENGKAJI AKIDAH AKHLAK/MA/JL.2/KLS.XI/K2013,USMAN&IDA INAYAHWATI,K2013,2017,MA,0," 55,000 "
0112970080,AYO MENGKAJI FIKIH/MA/KLS.X/K2013,NUR HADI&M. RIFA'I,K2013,2016,MA,0," 60,000 "
0112970090,AYO MENGKAJI FIKIH/MA/KLS.XI/K2013,NUR HADI&M. RIFA'I,K2013,2017,MA,0," 50,000 "
0112970110,AYO MENGKAJI AL-QURAN HADIS/MA/KLS.X/K2013,MUSTHAFA HADNA,K2013,2017,MA,0," 55,000 "
0112970120,AYO MENGKAJI AL-QURAN HADIS/MA/KLS.XI/K2013,MUSTHAFA HADNA,K2013,2017,MA,0," 60,000 "
0112970140,AYO MENGKAJI SEJARAH KEBUDAYAAN ISLAM/MA/KLS.X/K2013,NUR HADI,K2013,2016,MA,0," 50,000 "
0112970150,AYO MENGKAJI SEJARAH KEBUDAYAAN ISLAM/MA/KLS.XI/K2013,NUR HADI,K2013,2017,MA,0," 40,000 "
0114920010,AYO FASIH BERBAHASA ARAB/JL.1/MA/KLS.X/K2013,"HASAN SAEFULLAH, M.AG",K2013,2016,MA,0," 62,000 "
0115100010,PERMIT UN MATEMATIKA SMA/MA PROGRAM IPS,HUSEIN TAMPOMAS,KTSP,2013,MA,0," 50,000 "
01190780,PANDUAN AKTIVITAS DIKELOMPOK BERMAIN,HELYANTINI SOETOPO,TK,2009,TK,0," 23,000 "
01190781,PANDUAN AKTIVITAS DIKELOMPOK BERMAIN/REVISI,HELYANTINI SOETOPO,TK,2017,TK,0," 30,000 "
01191991,ENSIKLOPEDIA TUBUH MANUSIA EDISI KEDUA,STEVE PARKER,UMUM,2016,UMUM,0," 450,000 "
01310061,SERI 4SAHABAT CKB: BAHASA/REVISI,CONDRYWATI,TK,2014,TK,0," 36,000 "
01310071,SERI 4SAHABAT CKB: KREATIVITAS/REVISI,"CONDRYWATI, DKK",TK,2014,TK,0," 36,000 "
01340041,SERI 4SAHABAT CKB: BERHITUNG/REVISI,"CONDRTWATI, DKK",TK,2014,TK,0," 36,000 "
01420351,READ A STORY: HARI YG HEBAT (HOKBEN),MERLINDA LESMANA,ANAK,2016,ANAK,0," 10,000 "
01420371,PENGEMBANGAN DIRI: SIRKUS BAWAH TANAH (HOKBEN),MERLINDA LESMANA,ANAK,2016,ANAK,0," 10,000 "
01490651,PENGEMBANGAN DIRI: NYAM! NYAM! NYAM! (HOKBEN),MERLINDA LESMANA,ANAK,2016,ANAK,0," 10,000 "
01490691,PENGEMBANGAN DIRI: HARVEY SI KUDA NIL YG CERIA (HOKBEN),VERA JASINI PUTRI,ANAK,2016,ANAK,0," 10,000 "
01510110,PAKET: I CAN SPEAK ENGL.TK.A/REV,IR. AFRIN AULIA,TK,2007,TK,0," 55,000 "
01510120,PAKET: I CAN SPEAK ENGL.TK.B/REV,IR. AFRIN AULIA,TK,2007,TK,0," 57,000 "
01620010,AKTIVITAS DIKELOMPOK BERMAIN,HELYANTINI SOETOPO,KTSP,2009,TK,0," 66,000 "
01620011,AKTIVITASKU DIKELOMPOK BERMAIN/REVISI,HELYANTINI SOETOPO,TK,2017,TK,0," 55,000 "
02020050,AGENDA RAMADHANKU SD,"HOLIFURRAHMAN, S.AG., DKK.",KTSP,2011,SD,0," 20,000 "
02060190,BK PENDAMPING TEMATIK TERPADU B. INDONESIA JL.1/K2013,AGUSTINUS INDRADI,K2013,2013,SD,0," 48,000 "
02060191,BK PENDAMPING TEMATIK TERPADU B. INDONESIA JL.1/K13N,AGUSTINUS INDRADI,K13N,2017,SD,0," 55,000 "
02060200,BK PENDAMPING TEMATIK TERPADU B. INDONESIA JL.2/K2013,AGUSTINUS INDRADI,K2013,2014,SD,0," 48,000 "
02060201,BK PENDAMPING TEMATIK TERPADU B. INDONESIA JL.2/K13N,AGUSTINUS INDRADI,K13N,2018,SD,0," 48,999 "
02060210,BK PENDAMPING TEMATIK TERPADU B. INDONESIA JL.3/K2013,AGUSTINUS INDRADI,K2013,2015,SD,0," 52,000 "
02060220,BK PENDAMPING TEMATIK TERPADU B. INDONESIA JL.4/K2013,AGUSTINUS INDRADI,K2013,2013,SD,0," 48,000 "
02060221,BK PENDAMPING TEMATIK TERPADU B. INDONESIA JL.4/K13N,AGUSTINUS INDRADI,K13N,2017,SD,0," 51,000 "
02060230,BK PENDAMPING TEMATIK TERPADU B. INDONESIA JL.5/K2013,AGUSTINUS INDRADI,K2013,2014,SD,0," 48,000 "
02060231,BK PENDAMPING TEMATIK TERPADU B. INDONESIA JL.5/K13N,AGUSTINUS INDRADI,K13N,2018,SD,0," 48,999 "
02060240,BK PENDAMPING TEMATIK TERPADU B. INDONESIA JL.6/K2013,AGUSTINUS INDRADI,K2013,2015,SD,0," 52,000 "
02061420,BK PENDAMPING TEMATIK TERPADU IPA JL.1/K2013,IRENE M.J.A,K2013,2013,SD,0," 48,000 "
02061430,BK PENDAMPING TEMATIK TERPADU IPA JL.2/K2013,IRENE M.J.A,K2013,2014,SD,0," 50,000 "
02061440,BK PENDAMPING TEMATIK TERPADU IPA JL.3/K2013,IRENE M.J.A,K2013,2015,SD,0," 52,000 "
02061450,BK PENDAMPING TEMATIK TERPADU IPA JL.4/K2013,IRENE M.J.A,K2013,2013,SD,0," 48,000 "
02061460,BK PENDAMPING TEMATIK TERPADU IPA JL.5/K2013,IRENE M.J.A,K2013,2014,SD,0," 52,000 "
02061470,BK PENDAMPING TEMATIK TERPADU IPA JL.6/K2013,IRENE M.J.A,K2013,2015,SD,0," 52,000 "
02061870,BK PENDAMPING TEMATIK TERPADU MATEMATIKA JL.1/K2013,DHESY ADHALIA,K2013,2013,SD,0," 52,000 "
02061871,BK PENDAMPING TEMATIK TERPADU MATEMATIKA JL.1/K13N,DHESY ADHALIA,K13N,2017,SD,0," 65,000 "
02061880,BK PENDAMPING TEMATIK TERPADU MATEMATIKA JL.2/K2013,DHESY ADHALIA,K2013,2014,SD,0," 52,000 "
02061881,BK PENDAMPING TEMATIK TERPADU MATEMATIKA JL.2/K13N,DHESY ADHALIA,K13N,2018,SD,0," 52,999 "
02061890,BK PENDAMPING TEMATIK TERPADU MATEMATIKA JL.3/K2013,DHESY ADHALIA,K2013,2015,SD,0," 52,000 "
02061900,BK PENDAMPING TEMATIK TERPADU MATEMATIKA JL.4/K2013,DHESY ADHALIA,K2013,2013,SD,0," 52,000 "
02061901,BK PENDAMPING TEMATIK TERPADU MATEMATIKA JL.4/K13N,DHESY ADHALIA,K13N,2018,SD,0," 52,999 "
02061910,BK PENDAMPING TEMATIK TERPADU MATEMATIKA JL.5/K2013,DHESY ADHALIA,K2013,2014,SD,0," 52,000 "
02061911,BK PENDAMPING TEMATIK TERPADU MATEMATIKA JL.5/K13N,DHESY ADHALIA,K13N,2018,SD,0," 52,999 "
02061920,BK PENDAMPING TEMATIK TERPADU MATEMATIKA JL.6/K2013,DHESY ADHALIA,K2013,2015,SD,0," 52,000 "
02062280,BK PENDAMPING TEMATIK TERPADU IPS JL.1/K2013,DWI TYAS UTAMI - IRMA M,K2013,2013,SD,0," 48,000 "
02062290,BK PENDAMPING TEMATIK TERPADU IPS JL.2/K2013,DWI TYAS UTAMI - IRMA M,K2013,2014,SD,0," 43,000 "
02062300,BK PENDAMPING TEMATIK TERPADU IPS JL.3/K2013,DWI TYAS UTAMI - IRMA M,K2013,2015,SD,0," 52,000 "
02062310,BK PENDAMPING TEMATIK TERPADU IPS JL.4/K2013,DWI TYAS UTAMI - IRMA M,K2013,2013,SD,0," 48,000 "
02062320,BK PENDAMPING TEMATIK TERPADU IPS JL.5/K2013,DWI TYAS UTAMI - IRMA M,K2013,2014,SD,0," 45,000 "
02062330,BK PENDAMPING TEMATIK TERPADU IPS JL.6/K2013,DWI TYAS UTAMI - IRMA M,K2013,2015,SD,0," 52,000 "
02240010,AKU SIAP AKU BISA JL.1A/KTSP,BAMBANG SUTEJO,KTSP,2008,SD,0," 77,000 "
02240020,AKU SIAP AKU BISA JL.1B/KTSP,BAMBANG SUTEJO,KTSP,2009,SD,0," 53,000 "
02240030,AKU SIAP AKU BISA JL.2A/KTSP,BAMBANG SUTEJO,KTSP,2008,SD,0," 75,000 "
02240040,AKU SIAP AKU BISA JL.2B/KTSP,BAMBANG SUTEJO,KTSP,2009,SD,0," 56,000 "
02240050,AKU SIAP AKU BISA JL.3A/KTSP,BAMBANG SUTEJO,KTSP,2008,SD,0," 82,000 "
02240060,AKU SIAP AKU BISA JL.3B/KTSP,BAMBANG SUTEJO,KTSP,2009,SD,0," 65,000 "
02240070,AKU SIAP AKU BISA JL.4A/KTSP,BAMBANG SUTEJO,KTSP,2008,SD,0," 78,000 "
02240080,AKU SIAP AKU BISA JL.4B/KTSP,BAMBANG SUTEJO,KTSP,2009,SD,0," 72,000 "
02240090,AKU SIAP AKU BISA JL.5A/KTSP,BAMBANG SUTEJO,KTSP,2008,SD,0," 68,000 "
02240100,AKU SIAP AKU BISA JL.5B/KTSP,BAMBANG SUTEJO,KTSP,2009,SD,0," 68,000 "
02240110,AKU SIAP AKU BISA JL.6A/KTSP,BAMBANG SUTEJO,KTSP,2008,SD,0," 77,000 "
02240120,AKU SIAP AKU BISA JL.6B/KTSP,BAMBANG SUTEJO,KTSP,2009,SD,0," 65,000 "
02260880,SAINS SD JL.1/K2013,"HARYANTO, DRS",K2013,2013,SD,0," 60,000 "
02260890,SAINS SD JL.2/K2013,"HARYANTO, DRS",K2013,2014,SD,0," 66,000 "
02260900,SAINS SD JL.3/K2013,"HARYANTO, DRS",K2013,2015,SD,0," 85,000 "
02260910,SAINS SD JL.4/K2013,"HARYANTO, DRS",K2013,2013,SD,0," 77,000 "
02260920,SAINS SD JL.5/K2013,"HARYANTO, DRS",K2013,2014,SD,0," 78,000 "
02260930,SAINS SD JL.6/K2013,"HARYANTO, DRS",K2013,2015,SD,0," 80,000 "
02300200,SNG.BEL.AGAMA ISLAM JL.1(KTSP),DRS. H. MASRUN DKK,KTSP,2007,SD,0," 82,000 "
02300202,SNG.BEL.AGAMA ISLAM JL.1/REVISI/K2013,DRS. H. MASRUN DKK,K2013,2014,SD,0," 56,000 "
02300203,SNG.BEL.AGAMA ISLAM JL.1/K13N,DRS. H. MASRUN DKK,K13N,2016,SD,0," 50,000 "
02300210,SNG.BEL.AGAMA ISLAM JL.2(KTSP),DRS. H. MASRUN DKK,KTSP,2007,SD,0," 82,000 "
02300211,SNG.BEL.AGAMA ISLAM JL.2/K2013,DRS. H. MASRUN DKK,K2013,2014,SD,0," 58,000 "
02300212,SNG.BEL.AGAMA ISLAM JL.2/K13N,DRS. H. MASRUN DKK,K13N,2017,SD,0," 45,000 "
02300220,SNG.BEL.AGAMA ISLAM JL.3(KTSP),DRS. H. MASRUN DKK,KTSP,2007,SD,0," 66,000 "
02300221,SNG.BEL.AGAMA ISLAM JL.3/K2013,DRS. H. MASRUN DKK,K2013,2015,SD,0," 56,000 "
02300222,SNG.BEL.AGAMA ISLAM JL.3/K13N,DRS. H. MASRUN DKK,K13N,2018,SD,0," 56,999 "
02300230,SNG.BEL.AGAMA ISLAM JL.4(KTSP),DRS. H. MASRUN DKK,KTSP,2007,SD,0," 66,000 "
02300232,SNG.BEL.AGAMA ISLAM JL.4/REVISI/K2013,DRS. H. MASRUN DKK,K2013,2014,SD,0," 60,000 "
02300233,SNG.BEL.AGAMA ISLAM JL.4/K13N,DRS. H. MASRUN DKK,K13N,2016,SD,0," 45,000 "
02300240,SNG.BEL.AGAMA ISLAM JL.5(KTSP),DRS. H. MASRUN DKK,KTSP,2007,SD,0," 60,000 "
02300241,SNG.BEL.AGAMA ISLAM JL.5/K2013,DRS. H. MASRUN DKK,K2013,2014,SD,0," 60,000 "
02300242,SNG.BEL.AGAMA ISLAM JL.5/K13N,DRS. H. MASRUN DKK,K13N,2017,SD,0," 39,000 "
02300250,SNG.BEL.AGAMA ISLAM JL.6(KTSP),DRS. H. MASRUN DKK,KTSP,2007,SD,0," 60,000 "
02300251,SNG.BEL.AGAMA ISLAM JL.6/K2013,DRS. H. MASRUN DKK,K2013,2015,SD,0," 58,000 "
02300252,SNG.BEL.AGAMA ISLAM JL.6/K13N,DRS. H. MASRUN DKK,K13N,2018,SD,0," 58,999 "
02300380,PENDIDIKAN AGAMA ISLAM JL.1/KTSP,TIM BINA KARYA GURU,KTSP,2007,SD,0," 68,000 "
02300390,PENDIDIKAN AGAMA ISLAM JL.2/KTSP,TIM BINA KARYA GURU,KTSP,2007,SD,0," 65,000 "
02300400,PENDIDIKAN AGAMA ISLAM JL.3/KTSP,TIM BINA KARYA GURU,KTSP,2007,SD,0," 56,000 "
02300410,PENDIDIKAN AGAMA ISLAM JL.4/KTSP,TIM BINA KARYA GURU,KTSP,2007,SD,0," 66,000 "
02300420,PENDIDIKAN AGAMA ISLAM JL.5/KTSP,TIM BINA KARYA GURU,KTSP,2007,SD,0," 68,000 "
02300430,PENDIDIKAN AGAMA ISLAM JL.6/KTSP,TIM BINA KARYA GURU,KTSP,2007,SD,0," 75,000 "
02300441,BINA FIKIH JL.1/KTSP/SKL08,TIM BINA KARYA GURU,KTSP,2009,MI,0," 48,000 "
02300451,BINA FIKIH JL.2/KTSP/SKL08,TIM BINA KARYA GURU,KTSP,2009,MI,0," 40,000 "
02300461,BINA FIKIH JL.3/KTSP/SKL08,TIM BINA KARYA GURU,KTSP,2009,MI,0," 40,000 "
02300471,BINA FIKIH JL.4/KTSP/SKL08,TIM BINA KARYA GURU,KTSP,2009,MI,0," 43,000 "
02300481,BINA FIKIH JL.5/KTSP/SKL08,TIM BINA KARYA GURU,KTSP,2009,MI,0," 43,000 "
02300491,BINA FIKIH JL.6/KTSP/SKL08,TIM BINA KARYA GURU,KTSP,2009,MI,0," 40,000 "
02300501,BINA ALQURAN HADIS JL.1/SKL08,TIM BINA KARYA GURU,KTSP,2009,MI,0," 52,000 "
02300511,BINA ALQURAN HADIS JL.2/SKL08,TIM BINA KARYA GURU,KTSP,2009,MI,0," 43,000 "
02300521,BINA ALQURAN HADIS JL.3/SKL08,TIM BINA KARYA GURU,KTSP,2009,MI,0," 52,000 "
02300531,BINA ALQURAN HADIS JL.4/SKL08,TIM BINA KARYA GURU,KTSP,2009,MI,0," 53,000 "
02300541,BINA ALQURAN HADIS JL.5/SKL08,TIM BINA KARYA GURU,KTSP,2009,MI,0," 53,000 "
02300551,BINA ALQURAN HADIS JL.6/SKL08,TIM BINA KARYA GURU,KTSP,2009,MI,0," 52,000 "
02300571,BINA AKIDAH AKHLAK JL.1/SKL08,TIM BINA KARYA GURU,KTSP,2009,MI,0," 56,000 "
02300581,BINA AKIDAH AKHLAK JL.2/SKL08,TIM BINA KARYA GURU,KTSP,2009,MI,0," 43,000 "
02300591,BINA AKIDAH AKHLAK JL.3/SKL08,TIM BINA KARYA GURU,KTSP,2009,MI,0," 48,000 "
02300601,BINA AKIDAH AKHLAK JL.4/SKL08,TIM BINA KARYA GURU,KTSP,2009,MI,0," 52,000 "
02300611,BINA AKIDAH AKHLAK JL.5/SKL08,TIM BINA KARYA GURU,KTSP,2009,MI,0," 52,000 "
02300621,BINA AKIDAH AKHLAK JL.6/SKL08,TIM BINA KARYA GURU,KTSP,2009,MI,0," 45,000 "
02312991,BK TEMATIK B. INDONESIA JL. 1A/REV,HILDA KARLI M.PD,KTSP,2010,SD,0," 45,000 "
02313001,BK TEMATIK B. INDONESIA JL.1B/REV,HILDA KARLI M.PD,KTSP,2010,SD,0," 45,000 "
02313011,BK TEMATIK B. INDONESIA JL.2A/REV,HILDA KARLI M.PD,KTSP,2010,SD,0," 40,000 "
